SessionId,SessionCode,Condition,SequenceNumber,Sender,Message,CreatedAtUtc
09969489-bdc9-4889-96fb-9e1d495c3be8,EXP-902DFB60,Human,3,Participant,¿Cuál fue el último regalo que hiciste?,2026-08-20T09:46:00Z
09969489-bdc9-4889-96fb-9e1d495c3be8,EXP-902DFB60,Human,4,Interlocutor,Le di un libro a un amigo por su cumpleaños.,2026-08-20T09:46:20Z
cbf5cec9-8d2d-4aa4-aa54-61eeb51199a2,EXP-DEFA2BA9,Human,1,Participant,Cuéntame sobre un libro que te haya marcado.,2026-08-20T10:00:20Z
cbf5cec9-8d2d-4aa4-aa54-61eeb51199a2,EXP-DEFA2BA9,Human,2,Interlocutor,"Leí uno sobre hábitos hace poco, me hizo repensar mi rutina diaria.",2026-08-20T10:00:40Z
cbf5cec9-8d2d-4aa4-aa54-61eeb51199a2,EXP-DEFA2BA9,Human,3,Participant,¿Qué opinas de las redes sociales hoy en día?,2026-08-20T10:01:00Z
cbf5cec9-8d2d-4aa4-aa54-61eeb51199a2,EXP-DEFA2BA9,Human,4,Interlocutor,"Tienen cosas buenas, pero a veces consumen demasiado tiempo.",2026-08-20T10:01:20Z
ca6df53b-573c-41f7-a5f1-aca426c22e2e,EXP-F3E2D2B0,Human,1,Participant,¿Cuál ha sido tu mayor logro reciente?,2026-08-20T10:15:20Z
ca6df53b-573c-41f7-a5f1-aca426c22e2e,EXP-F3E2D2B0,Human,2,Interlocutor,Terminar un proyecto grande que me tomó varios meses.,2026-08-20T10:15:40Z
ca6df53b-573c-41f7-a5f1-aca426c22e2e,EXP-F3E2D2B0,Human,3,Participant,¿Cómo describirías tu día hasta ahora?,2026-08-20T10:16:00Z
ca6df53b-573c-41f7-a5f1-aca426c22e2e,EXP-F3E2D2B0,Human,4,Interlocutor,"Ha sido tranquilo, estuve trabajando en un proyecto de la universidad.",2026-08-20T10:16:20Z
ca6df53b-573c-41f7-a5f1-aca426c22e2e,EXP-F3E2D2B0,Human,5,Participant,¿Cómo te organizas para estudiar?,2026-08-20T10:16:40Z
ca6df53b-573c-41f7-a5f1-aca426c22e2e,EXP-F3E2D2B0,Human,6,Interlocutor,Hago listas de tareas y trato de dividir todo en partes pequeñas.,2026-08-20T10:17:00Z
1e82fad5-a851-4a46-b274-09bd225f8fa7,EXP-B6B3E104,Human,1,Participant,¿Te gusta cocinar?,2026-08-20T10:30:20Z
1e82fad5-a851-4a46-b274-09bd225f8fa7,EXP-B6B3E104,Human,2,Interlocutor,"Sí, aunque no soy un experto, disfruto probar recetas nuevas.",2026-08-20T10:30:40Z
1e82fad5-a851-4a46-b274-09bd225f8fa7,EXP-B6B3E104,Human,3,Participant,¿Crees en el equilibrio entre trabajo y vida personal?,2026-08-20T10:31:00Z
1e82fad5-a851-4a46-b274-09bd225f8fa7,EXP-B6B3E104,Human,4,Interlocutor,"Sí, es fundamental, aunque no siempre es fácil lograrlo.",2026-08-20T10:31:20Z
1e82fad5-a851-4a46-b274-09bd225f8fa7,EXP-B6B3E104,Human,5,Participant,¿Cómo te organizas para estudiar?,2026-08-20T10:31:40Z
1e82fad5-a851-4a46-b274-09bd225f8fa7,EXP-B6B3E104,Human,6,Interlocutor,Hago listas de tareas y trato de dividir todo en partes pequeñas.,2026-08-20T10:32:00Z
763523b2-ece0-4230-911c-c82f4b5c3aac,EXP-0EBABC13,Human,1,Participant,¿Qué serie estás viendo actualmente?,2026-08-20T10:45:20Z
763523b2-ece0-4230-911c-c82f4b5c3aac,EXP-0EBABC13,Human,2,Interlocutor,"Estoy viendo una de ciencia ficción, me tiene bastante enganchado.",2026-08-20T10:45:40Z
763523b2-ece0-4230-911c-c82f4b5c3aac,EXP-0EBABC13,Human,3,Participant,¿Qué opinas sobre el cambio climático?,2026-08-20T10:46:00Z
763523b2-ece0-4230-911c-c82f4b5c3aac,EXP-0EBABC13,Human,4,Interlocutor,"Me preocupa, creo que falta más acción concreta de los gobiernos.",2026-08-20T10:46:20Z
d9ac0914-f61f-47f4-ae60-f809b974d40d,EXP-097C6480,Human,1,Participant,¿Cuál es tu recuerdo de infancia favorito?,2026-08-20T11:00:20Z
d9ac0914-f61f-47f4-ae60-f809b974d40d,EXP-097C6480,Human,2,Interlocutor,Las vacaciones familiares en la casa de mis abuelos.,2026-08-20T11:00:40Z
d9ac0914-f61f-47f4-ae60-f809b974d40d,EXP-097C6480,Human,3,Participant,¿Cómo manejas el estrés en época de exámenes?,2026-08-20T11:01:00Z
d9ac0914-f61f-47f4-ae60-f809b974d40d,EXP-097C6480,Human,4,Interlocutor,Trato de organizar mi tiempo con anticipación y descansar bien.,2026-08-20T11:01:20Z
9386950a-231f-4bb8-a3b9-69dd7b7cbdc3,EXP-25B03B2C,Human,1,Participant,¿Qué música escuchas cuando estás concentrado?,2026-08-20T11:15:20Z
9386950a-231f-4bb8-a3b9-69dd7b7cbdc3,EXP-25B03B2C,Human,2,Interlocutor,"Prefiero instrumental o lo-fi, sin letra que me distraiga.",2026-08-20T11:15:40Z
9386950a-231f-4bb8-a3b9-69dd7b7cbdc3,EXP-25B03B2C,Human,3,Participant,¿Qué es lo que más valoras en una amistad?,2026-08-20T11:16:00Z
9386950a-231f-4bb8-a3b9-69dd7b7cbdc3,EXP-25B03B2C,Human,4,Interlocutor,La sinceridad y que estén presentes en los momentos difíciles.,2026-08-20T11:16:20Z
9386950a-231f-4bb8-a3b9-69dd7b7cbdc3,EXP-25B03B2C,Human,5,Participant,¿Cuál es tu comida favorita y por qué?,2026-08-20T11:16:40Z
5c8e26e4-27b7-4d9d-85e3-a74d3789b4ae,EXP-3A603961,Human,1,Participant,¿Cuál es tu recuerdo de infancia favorito?,2026-08-20T11:30:20Z
5c8e26e4-27b7-4d9d-85e3-a74d3789b4ae,EXP-3A603961,Human,2,Interlocutor,Las vacaciones familiares en la casa de mis abuelos.,2026-08-20T11:30:40Z
5c8e26e4-27b7-4d9d-85e3-a74d3789b4ae,EXP-3A603961,Human,3,Participant,¿Qué música escuchas cuando estás concentrado?,2026-08-20T11:31:00Z
5c8e26e4-27b7-4d9d-85e3-a74d3789b4ae,EXP-3A603961,Human,4,Interlocutor,"Prefiero instrumental o lo-fi, sin letra que me distraiga.",2026-08-20T11:31:20Z
aaa9b163-ed31-45b4-840a-92cba5f4783a,EXP-A8698553,Human,1,Participant,¿Qué opinas del trabajo remoto?,2026-08-20T11:45:20Z
aaa9b163-ed31-45b4-840a-92cba5f4783a,EXP-A8698553,Human,2,Interlocutor,"Me gusta la flexibilidad, aunque a veces extraño el contacto en persona.",2026-08-20T11:45:40Z
aaa9b163-ed31-45b4-840a-92cba5f4783a,EXP-A8698553,Human,3,Participant,¿Qué harías si tuvieras un día libre inesperado?,2026-08-20T11:46:00Z
aaa9b163-ed31-45b4-840a-92cba5f4783a,EXP-A8698553,Human,4,Interlocutor,Probablemente saldría a caminar y luego vería una película.,2026-08-20T11:46:20Z
0d811903-385a-49fe-a39b-f246f2c6242a,EXP-14984B80,Human,1,Participant,¿Cuál ha sido tu mayor logro reciente?,2026-08-20T12:00:20Z
0d811903-385a-49fe-a39b-f246f2c6242a,EXP-14984B80,Human,2,Interlocutor,Terminar un proyecto grande que me tomó varios meses.,2026-08-20T12:00:40Z
0d811903-385a-49fe-a39b-f246f2c6242a,EXP-14984B80,Human,3,Participant,¿Qué es lo que más valoras en una amistad?,2026-08-20T12:01:00Z
0d811903-385a-49fe-a39b-f246f2c6242a,EXP-14984B80,Human,4,Interlocutor,La sinceridad y que estén presentes en los momentos difíciles.,2026-08-20T12:01:20Z
0d811903-385a-49fe-a39b-f246f2c6242a,EXP-14984B80,Human,5,Participant,¿Qué opinas sobre la inteligencia artificial en la educación?,2026-08-20T12:01:40Z
83ba8f3f-61ec-4d88-8252-23e9fc3ba361,EXP-2661DF81,Human,1,Participant,¿Qué serie estás viendo actualmente?,2026-08-20T12:15:20Z
83ba8f3f-61ec-4d88-8252-23e9fc3ba361,EXP-2661DF81,Human,2,Interlocutor,"Estoy viendo una de ciencia ficción, me tiene bastante enganchado.",2026-08-20T12:15:40Z
83ba8f3f-61ec-4d88-8252-23e9fc3ba361,EXP-2661DF81,Human,3,Participant,¿Cómo te organizas para estudiar?,2026-08-20T12:16:00Z
83ba8f3f-61ec-4d88-8252-23e9fc3ba361,EXP-2661DF81,Human,4,Interlocutor,Hago listas de tareas y trato de dividir todo en partes pequeñas.,2026-08-20T12:16:20Z
83ba8f3f-61ec-4d88-8252-23e9fc3ba361,EXP-2661DF81,Human,5,Participant,¿Qué harías si tuvieras un día libre inesperado?,2026-08-20T12:16:40Z
83ba8f3f-61ec-4d88-8252-23e9fc3ba361,EXP-2661DF81,Human,6,Interlocutor,Probablemente saldría a caminar y luego vería una película.,2026-08-20T12:17:00Z
cf7b6498-69c0-424a-9fb7-64bc731576ad,EXP-F01659BD,Human,1,Participant,¿Cómo te organizas para estudiar?,2026-08-20T12:30:20Z
cf7b6498-69c0-424a-9fb7-64bc731576ad,EXP-F01659BD,Human,2,Interlocutor,Hago listas de tareas y trato de dividir todo en partes pequeñas.,2026-08-20T12:30:40Z
cf7b6498-69c0-424a-9fb7-64bc731576ad,EXP-F01659BD,Human,3,Participant,¿Cómo crees que será la tecnología en 10 años?,2026-08-20T12:31:00Z
cf7b6498-69c0-424a-9fb7-64bc731576ad,EXP-F01659BD,Human,4,Interlocutor,Pienso que la IA estará mucho más integrada en la vida diaria.,2026-08-20T12:31:20Z
83e58570-9d71-4e76-832c-769f4d210bbd,EXP-A8798412,Human,1,Participant,¿Tienes alguna meta para este año?,2026-08-20T12:45:20Z
83e58570-9d71-4e76-832c-769f4d210bbd,EXP-A8798412,Human,2,Interlocutor,Terminar mi carrera y empezar a trabajar en lo que estudié.,2026-08-20T12:45:40Z
83e58570-9d71-4e76-832c-769f4d210bbd,EXP-A8798412,Human,3,Participant,¿Qué opinas sobre el cambio climático?,2026-08-20T12:46:00Z
83e58570-9d71-4e76-832c-769f4d210bbd,EXP-A8798412,Human,4,Interlocutor,"Me preocupa, creo que falta más acción concreta de los gobiernos.",2026-08-20T12:46:20Z
83e58570-9d71-4e76-832c-769f4d210bbd,EXP-A8798412,Human,5,Participant,¿Qué opinas de las redes sociales hoy en día?,2026-08-20T12:46:40Z
83e58570-9d71-4e76-832c-769f4d210bbd,EXP-A8798412,Human,6,Interlocutor,"Tienen cosas buenas, pero a veces consumen demasiado tiempo.",2026-08-20T12:47:00Z
81499ffb-6791-49e2-b41b-04b7499500c9,EXP-1B76726B,Human,1,Participant,¿Qué opinas sobre la inteligencia artificial en la educación?,2026-08-20T13:00:20Z
81499ffb-6791-49e2-b41b-04b7499500c9,EXP-1B76726B,Human,2,Interlocutor,"Creo que puede ayudar mucho, pero no debería reemplazar al profesor.",2026-08-20T13:00:40Z
81499ffb-6791-49e2-b41b-04b7499500c9,EXP-1B76726B,Human,3,Participant,¿Qué haces para relajarte después de un día difícil?,2026-08-20T13:01:00Z
81499ffb-6791-49e2-b41b-04b7499500c9,EXP-1B76726B,Human,4,Interlocutor,Escucho música o salgo a caminar un rato.,2026-08-20T13:01:20Z
ff880927-e9d6-4b53-90d6-a12453d6a41f,EXP-D7D2AC33,Human,1,Participant,Cuéntame sobre un libro que te haya marcado.,2026-08-20T13:15:20Z
ff880927-e9d6-4b53-90d6-a12453d6a41f,EXP-D7D2AC33,Human,2,Interlocutor,"Leí uno sobre hábitos hace poco, me hizo repensar mi rutina diaria.",2026-08-20T13:15:40Z
ff880927-e9d6-4b53-90d6-a12453d6a41f,EXP-D7D2AC33,Human,3,Participant,"Si pudieras viajar a cualquier lugar, ¿a dónde irías?",2026-08-20T13:16:00Z
ff880927-e9d6-4b53-90d6-a12453d6a41f,EXP-D7D2AC33,Human,4,Interlocutor,"Me gustaría conocer Japón, su cultura me parece fascinante.",2026-08-20T13:16:20Z
ff880927-e9d6-4b53-90d6-a12453d6a41f,EXP-D7D2AC33,Human,5,Participant,¿Qué harías si tuvieras un día libre inesperado?,2026-08-20T13:16:40Z
ab07bc86-0e05-4ef0-a614-dda771263181,EXP-4D96B240,Human,1,Participant,¿Qué es lo que más valoras en una amistad?,2026-08-20T13:30:20Z
ab07bc86-0e05-4ef0-a614-dda771263181,EXP-4D96B240,Human,2,Interlocutor,La sinceridad y que estén presentes en los momentos difíciles.,2026-08-20T13:30:40Z
ab07bc86-0e05-4ef0-a614-dda771263181,EXP-4D96B240,Human,3,Participant,¿Qué serie estás viendo actualmente?,2026-08-20T13:31:00Z
ab07bc86-0e05-4ef0-a614-dda771263181,EXP-4D96B240,Human,4,Interlocutor,"Estoy viendo una de ciencia ficción, me tiene bastante enganchado.",2026-08-20T13:31:20Z
ab07bc86-0e05-4ef0-a614-dda771263181,EXP-4D96B240,Human,5,Participant,¿Te gusta cocinar?,2026-08-20T13:31:40Z
3f6e3881-535e-49c5-b693-cb47627b947d,EXP-1D18AADC,Human,1,Participant,¿Cómo manejas el estrés en época de exámenes?,2026-08-20T13:45:20Z
3f6e3881-535e-49c5-b693-cb47627b947d,EXP-1D18AADC,Human,2,Interlocutor,Trato de organizar mi tiempo con anticipación y descansar bien.,2026-08-20T13:45:40Z
3f6e3881-535e-49c5-b693-cb47627b947d,EXP-1D18AADC,Human,3,Participant,¿Tienes alguna meta para este año?,2026-08-20T13:46:00Z
3f6e3881-535e-49c5-b693-cb47627b947d,EXP-1D18AADC,Human,4,Interlocutor,Terminar mi carrera y empezar a trabajar en lo que estudié.,2026-08-20T13:46:20Z
3f6e3881-535e-49c5-b693-cb47627b947d,EXP-1D18AADC,Human,5,Participant,¿Qué opinas de las redes sociales hoy en día?,2026-08-20T13:46:40Z
82a33a40-965d-4471-abe4-4b2d331da049,EXP-292F6376,Human,1,Participant,¿Qué es lo que más valoras en una amistad?,2026-08-20T14:00:20Z
82a33a40-965d-4471-abe4-4b2d331da049,EXP-292F6376,Human,2,Interlocutor,La sinceridad y que estén presentes en los momentos difíciles.,2026-08-20T14:00:40Z
82a33a40-965d-4471-abe4-4b2d331da049,EXP-292F6376,Human,3,Participant,¿Crees en el equilibrio entre trabajo y vida personal?,2026-08-20T14:01:00Z
82a33a40-965d-4471-abe4-4b2d331da049,EXP-292F6376,Human,4,Interlocutor,"Sí, es fundamental, aunque no siempre es fácil lograrlo.",2026-08-20T14:01:20Z
82a33a40-965d-4471-abe4-4b2d331da049,EXP-292F6376,Human,5,Participant,¿Qué haces para relajarte después de un día difícil?,2026-08-20T14:01:40Z
82a33a40-965d-4471-abe4-4b2d331da049,EXP-292F6376,Human,6,Interlocutor,Escucho música o salgo a caminar un rato.,2026-08-20T14:02:00Z
8518cdfc-6d41-4a83-8941-472cdc03a740,EXP-81EB584C,Human,1,Participant,¿Cuál ha sido tu mayor logro reciente?,2026-08-20T14:15:20Z
8518cdfc-6d41-4a83-8941-472cdc03a740,EXP-81EB584C,Human,2,Interlocutor,Terminar un proyecto grande que me tomó varios meses.,2026-08-20T14:15:40Z
8518cdfc-6d41-4a83-8941-472cdc03a740,EXP-81EB584C,Human,3,Participant,¿Te gusta cocinar?,2026-08-20T14:16:00Z
8518cdfc-6d41-4a83-8941-472cdc03a740,EXP-81EB584C,Human,4,Interlocutor,"Sí, aunque no soy un experto, disfruto probar recetas nuevas.",2026-08-20T14:16:20Z
e636782a-46ff-4704-9bc4-b4beb3dd373f,EXP-9B1F7F71,Human,1,Participant,¿Qué opinas de aprender un nuevo idioma?,2026-08-20T14:30:20Z
e636782a-46ff-4704-9bc4-b4beb3dd373f,EXP-9B1F7F71,Human,2,Interlocutor,"Me parece muy útil, abre muchas puertas y perspectivas.",2026-08-20T14:30:40Z
e636782a-46ff-4704-9bc4-b4beb3dd373f,EXP-9B1F7F71,Human,3,Participant,"Si pudieras viajar a cualquier lugar, ¿a dónde irías?",2026-08-20T14:31:00Z
e636782a-46ff-4704-9bc4-b4beb3dd373f,EXP-9B1F7F71,Human,4,Interlocutor,"Me gustaría conocer Japón, su cultura me parece fascinante.",2026-08-20T14:31:20Z
e636782a-46ff-4704-9bc4-b4beb3dd373f,EXP-9B1F7F71,Human,5,Participant,¿Cómo manejas el estrés en época de exámenes?,2026-08-20T14:31:40Z
e636782a-46ff-4704-9bc4-b4beb3dd373f,EXP-9B1F7F71,Human,6,Interlocutor,Trato de organizar mi tiempo con anticipación y descansar bien.,2026-08-20T14:32:00Z
21ec40b9-5b7e-4f7b-b005-4899d5cbfcc0,EXP-1C5B7AF2,Human,1,Participant,¿Qué es lo que más valoras en una amistad?,2026-08-20T14:45:20Z
21ec40b9-5b7e-4f7b-b005-4899d5cbfcc0,EXP-1C5B7AF2,Human,2,Interlocutor,La sinceridad y que estén presentes en los momentos difíciles.,2026-08-20T14:45:40Z
21ec40b9-5b7e-4f7b-b005-4899d5cbfcc0,EXP-1C5B7AF2,Human,3,Participant,¿Te gusta cocinar?,2026-08-20T14:46:00Z
21ec40b9-5b7e-4f7b-b005-4899d5cbfcc0,EXP-1C5B7AF2,Human,4,Interlocutor,"Sí, aunque no soy un experto, disfruto probar recetas nuevas.",2026-08-20T14:46:20Z
21ec40b9-5b7e-4f7b-b005-4899d5cbfcc0,EXP-1C5B7AF2,Human,5,Participant,¿Crees en el equilibrio entre trabajo y vida personal?,2026-08-20T14:46:40Z
1a953f0d-88ae-41e8-82b7-865afc5c5719,EXP-62A94235,Human,1,Participant,"Si pudieras viajar a cualquier lugar, ¿a dónde irías?",2026-08-20T15:00:20Z
1a953f0d-88ae-41e8-82b7-865afc5c5719,EXP-62A94235,Human,2,Interlocutor,"Me gustaría conocer Japón, su cultura me parece fascinante.",2026-08-20T15:00:40Z
1a953f0d-88ae-41e8-82b7-865afc5c5719,EXP-62A94235,Human,3,Participant,¿Qué haces para relajarte después de un día difícil?,2026-08-20T15:01:00Z
1a953f0d-88ae-41e8-82b7-865afc5c5719,EXP-62A94235,Human,4,Interlocutor,Escucho música o salgo a caminar un rato.,2026-08-20T15:01:20Z
1a953f0d-88ae-41e8-82b7-865afc5c5719,EXP-62A94235,Human,5,Participant,¿Qué música escuchas cuando estás concentrado?,2026-08-20T15:01:40Z
1a953f0d-88ae-41e8-82b7-865afc5c5719,EXP-62A94235,Human,6,Interlocutor,"Prefiero instrumental o lo-fi, sin letra que me distraiga.",2026-08-20T15:02:00Z
1c5bbdd7-790e-4cd0-8be9-2b0ee63d4054,EXP-7F042DB4,AI,1,Participant,"Si pudieras viajar a cualquier lugar, ¿a dónde irías?",2026-08-20T15:15:20Z
1c5bbdd7-790e-4cd0-8be9-2b0ee63d4054,EXP-7F042DB4,AI,2,Interlocutor,"Me gustaría conocer Japón, su cultura me parece fascinante.",2026-08-20T15:15:40Z
1c5bbdd7-790e-4cd0-8be9-2b0ee63d4054,EXP-7F042DB4,AI,3,Participant,¿Qué opinas sobre la inteligencia artificial en la educación?,2026-08-20T15:16:00Z
1c5bbdd7-790e-4cd0-8be9-2b0ee63d4054,EXP-7F042DB4,AI,4,Interlocutor,"Creo que puede ayudar mucho, pero no debería reemplazar al profesor.",2026-08-20T15:16:20Z
eee3b628-ed7c-4e1b-be8a-ec6a985cbb02,EXP-2AFAE7DB,AI,1,Participant,¿Qué es lo que más valoras en una amistad?,2026-08-20T15:30:20Z
eee3b628-ed7c-4e1b-be8a-ec6a985cbb02,EXP-2AFAE7DB,AI,2,Interlocutor,La sinceridad y que estén presentes en los momentos difíciles.,2026-08-20T15:30:40Z
eee3b628-ed7c-4e1b-be8a-ec6a985cbb02,EXP-2AFAE7DB,AI,3,Participant,Cuéntame sobre un libro que te haya marcado.,2026-08-20T15:31:00Z
eee3b628-ed7c-4e1b-be8a-ec6a985cbb02,EXP-2AFAE7DB,AI,4,Interlocutor,"Leí uno sobre hábitos hace poco, me hizo repensar mi rutina diaria.",2026-08-20T15:31:20Z
eee3b628-ed7c-4e1b-be8a-ec6a985cbb02,EXP-2AFAE7DB,AI,5,Participant,¿Qué opinas de las redes sociales hoy en día?,2026-08-20T15:31:40Z
146d580b-59a4-4fca-b0a4-22cd36dddce8,EXP-1699D540,AI,1,Participant,¿Crees en el equilibrio entre trabajo y vida personal?,2026-08-20T15:45:20Z
146d580b-59a4-4fca-b0a4-22cd36dddce8,EXP-1699D540,AI,2,Interlocutor,"Sí, es fundamental, aunque no siempre es fácil lograrlo.",2026-08-20T15:45:40Z
146d580b-59a4-4fca-b0a4-22cd36dddce8,EXP-1699D540,AI,3,Participant,¿Qué música escuchas cuando estás concentrado?,2026-08-20T15:46:00Z
146d580b-59a4-4fca-b0a4-22cd36dddce8,EXP-1699D540,AI,4,Interlocutor,"Prefiero instrumental o lo-fi, sin letra que me distraiga.",2026-08-20T15:46:20Z
146d580b-59a4-4fca-b0a4-22cd36dddce8,EXP-1699D540,AI,5,Participant,¿Qué opinas de las redes sociales hoy en día?,2026-08-20T15:46:40Z
146d580b-59a4-4fca-b0a4-22cd36dddce8,EXP-1699D540,AI,6,Interlocutor,"Tienen cosas buenas, pero a veces consumen demasiado tiempo.",2026-08-20T15:47:00Z
7b8fb1eb-2415-4bc5-9b6f-174ad832f85d,EXP-65767AE9,AI,1,Participant,¿Qué opinas del trabajo remoto?,2026-08-20T16:00:20Z
7b8fb1eb-2415-4bc5-9b6f-174ad832f85d,EXP-65767AE9,AI,2,Interlocutor,"Me gusta la flexibilidad, aunque a veces extraño el contacto en persona.",2026-08-20T16:00:40Z
7b8fb1eb-2415-4bc5-9b6f-174ad832f85d,EXP-65767AE9,AI,3,Participant,¿Te gusta cocinar?,2026-08-20T16:01:00Z
7b8fb1eb-2415-4bc5-9b6f-174ad832f85d,EXP-65767AE9,AI,4,Interlocutor,"Sí, aunque no soy un experto, disfruto probar recetas nuevas.",2026-08-20T16:01:20Z
7b8fb1eb-2415-4bc5-9b6f-174ad832f85d,EXP-65767AE9,AI,5,Participant,¿Qué serie estás viendo actualmente?,2026-08-20T16:01:40Z
a9322e95-e708-411a-b77c-e4d9371180e3,EXP-55477B55,AI,1,Participant,¿Qué es lo que más valoras en una amistad?,2026-08-20T16:15:20Z
a9322e95-e708-411a-b77c-e4d9371180e3,EXP-55477B55,AI,2,Interlocutor,La sinceridad y que estén presentes en los momentos difíciles.,2026-08-20T16:15:40Z
a9322e95-e708-411a-b77c-e4d9371180e3,EXP-55477B55,AI,3,Participant,¿Cuál es tu comida favorita y por qué?,2026-08-20T16:16:00Z
a9322e95-e708-411a-b77c-e4d9371180e3,EXP-55477B55,AI,4,Interlocutor,"Me gusta mucho la pasta, sobre todo si la prepara mi mamá.",2026-08-20T16:16:20Z
454c61be-56a7-4454-a6f3-f81be187445a,EXP-C4A83B6E,AI,1,Participant,¿Cómo te organizas para estudiar?,2026-08-20T16:30:20Z
454c61be-56a7-4454-a6f3-f81be187445a,EXP-C4A83B6E,AI,2,Interlocutor,Hago listas de tareas y trato de dividir todo en partes pequeñas.,2026-08-20T16:30:40Z
454c61be-56a7-4454-a6f3-f81be187445a,EXP-C4A83B6E,AI,3,Participant,¿Qué es lo que más valoras en una amistad?,2026-08-20T16:31:00Z
454c61be-56a7-4454-a6f3-f81be187445a,EXP-C4A83B6E,AI,4,Interlocutor,La sinceridad y que estén presentes en los momentos difíciles.,2026-08-20T16:31:20Z
454c61be-56a7-4454-a6f3-f81be187445a,EXP-C4A83B6E,AI,5,Participant,¿Qué opinas de aprender un nuevo idioma?,2026-08-20T16:31:40Z
454c61be-56a7-4454-a6f3-f81be187445a,EXP-C4A83B6E,AI,6,Interlocutor,"Me parece muy útil, abre muchas puertas y perspectivas.",2026-08-20T16:32:00Z
79371fa4-c5d1-4f30-a712-0c891c17d431,EXP-F6CFC913,AI,1,Participant,¿Qué opinas sobre el cambio climático?,2026-08-20T16:45:20Z
79371fa4-c5d1-4f30-a712-0c891c17d431,EXP-F6CFC913,AI,2,Interlocutor,"Me preocupa, creo que falta más acción concreta de los gobiernos.",2026-08-20T16:45:40Z
79371fa4-c5d1-4f30-a712-0c891c17d431,EXP-F6CFC913,AI,3,Participant,¿Qué opinas del trabajo remoto?,2026-08-20T16:46:00Z
79371fa4-c5d1-4f30-a712-0c891c17d431,EXP-F6CFC913,AI,4,Interlocutor,"Me gusta la flexibilidad, aunque a veces extraño el contacto en persona.",2026-08-20T16:46:20Z
79371fa4-c5d1-4f30-a712-0c891c17d431,EXP-F6CFC913,AI,5,Participant,¿Tienes alguna meta para este año?,2026-08-20T16:46:40Z
72303dd1-3a2b-4ec9-a04e-25870d8b8e49,EXP-23F42681,AI,1,Participant,¿Cuál es tu comida favorita y por qué?,2026-08-20T17:00:20Z
72303dd1-3a2b-4ec9-a04e-25870d8b8e49,EXP-23F42681,AI,2,Interlocutor,"Me gusta mucho la pasta, sobre todo si la prepara mi mamá.",2026-08-20T17:00:40Z
